Step,Time_s,Height_m,Velocity_m/s,Potential_Energy_J,Kinetic_Energy_J,Total_Energy_J,Energy_Error_J
14500,    0.145000,    9.896900,   -1.421964,***************, 10502.37811597,***************,   0.7243019337
14600,    0.146000,    9.895474,   -1.431771,***************, 10647.73802236,***************,   0.7292971193
14700,    0.147000,    9.894037,   -1.441578,***************, 10794.09696590,***************,   0.7342923050
14800,    0.148000,    9.892590,   -1.451384,***************, 10941.45494660,***************,   0.7392874906
14900,    0.149000,    9.891134,   -1.461191,***************, 11089.81196446,***************,   0.7442826763
15000,    0.150000,    9.889668,   -1.470998,***************, 11239.16801947,***************,   0.7492778617
15100,    0.151000,    9.888192,   -1.480804,***************, 11389.52311165,***************,   0.7542730476
15200,    0.152000,    9.886706,   -1.490611,***************, 11540.87724097,***************,   0.7592682330
15300,    0.153000,    9.885211,   -1.500417,***************, 11693.23040746,***************,   0.7642634189
15400,    0.154000,    9.883705,   -1.510224,***************, 11846.58261110,***************,   0.7692586043
15500,    0.155000,    9.882190,   -1.520031,***************, 12000.93385191,***************,   0.7742537899
15600,    0.156000,    9.880665,   -1.529837,***************, 12156.28412986,***************,   0.7792489756
15700,    0.157000,    9.879130,   -1.539644,***************, 12312.63344498,***************,   0.7842441611
15800,    0.158000,    9.877586,   -1.549451,***************, 12469.98179725,***************,   0.7892393467
15900,    0.159000,    9.876031,   -1.559257,***************, 12628.32918668,***************,   0.7942345324
16000,    0.160000,    9.874467,   -1.569064,***************, 12787.67561327,***************,   0.7992297182
16100,    0.161000,    9.872893,   -1.578871,***************, 12948.02107701,***************,   0.8042249035
16200,    0.162000,    9.871309,   -1.588677,***************, 13109.36557792,***************,   0.8092200890
16300,    0.163000,    9.869716,   -1.598484,***************, 13271.70911597,***************,   0.8142152746
16400,    0.164000,    9.868112,   -1.608291,***************, 13435.05169119,***************,   0.8192104605
16500,    0.165000,    9.866499,   -1.618097,***************, 13599.39330356,***************,   0.8242056461
16600,    0.166000,    9.864876,   -1.627904,***************, 13764.73395310,***************,   0.8292008317
16700,    0.167000,    9.863243,   -1.637711,***************, 13931.07363978,***************,   0.8341960171
16800,    0.168000,    9.861600,   -1.647517,***************, 14098.41236363,***************,   0.8391912029
16900,    0.169000,    9.859948,   -1.657324,***************, 14266.75012463,***************,   0.8441863884
17000,    0.170000,    9.858286,   -1.667131,***************, 14436.08692279,***************,   0.8491815740
17100,    0.171000,    9.856613,   -1.676937,***************, 14606.42275811,***************,   0.8541767598
17200,    0.172000,    9.854932,   -1.686744,***************, 14777.75763059,***************,   0.8591719451
17300,    0.173000,    9.853240,   -1.696550,***************, 14950.09154022,***************,   0.8641671309
17400,    0.174000,    9.851538,   -1.706357,***************, 15123.42448701,***************,   0.8691623163
17500,    0.175000,    9.849827,   -1.716164,***************, 15297.75647095,***************,   0.8741575020
17600,    0.176000,    9.848106,   -1.725970,***************, 15473.08749206,***************,   0.8791526875
17700,    0.177000,    9.846375,   -1.735777,***************, 15649.41755032,***************,   0.8841478731
17800,    0.178000,    9.844634,   -1.745584,***************, 15826.74664574,***************,   0.8891430587
17900,    0.179000,    9.842884,   -1.755390,***************, 16005.07477831,***************,   0.8941382444
18000,    0.180000,    9.841123,   -1.765197,***************, 16184.40194805,***************,   0.8991334299
18100,    0.181000,    9.839353,   -1.775004,***************, 16364.72815494,***************,   0.9041286157
