Step,Time_s,Height_m,Velocity_m/s,Potential_Energy_J,Kinetic_Energy_J,Total_Energy_J,Energy_Error_J
8100,    0.081000,   99.967825,   -0.794339,513309.78430010,   165.18857835,513474.97287845,   0.0203936517
8200,    0.082000,   99.967026,   -0.804145,513305.68014065,   169.29248603,513474.97262668,   0.0206454251
8300,    0.083000,   99.966217,   -0.813952,513301.52562651,   173.44674840,513474.97237491,   0.0208971985
8400,    0.084000,   99.965398,   -0.823759,513297.32075766,   177.65136547,513474.97212313,   0.0211489720
8500,    0.085000,   99.964569,   -0.833565,513293.06553413,   181.90633723,513474.97187136,   0.0214007456
8600,    0.086000,   99.963731,   -0.843372,513288.75995590,   186.21166369,513474.97161959,   0.0216525190
8700,    0.087000,   99.962882,   -0.853179,513284.40402297,   190.56734485,513474.97136781,   0.0219042924
8800,    0.088000,   99.962024,   -0.862985,513279.99773534,   194.97338070,513474.97111604,   0.0221560661
8900,    0.089000,   99.961156,   -0.872792,513275.54109302,   199.42977124,513474.97086427,   0.0224078395
9000,    0.090000,   99.960279,   -0.882598,513271.03409601,   203.93651648,513474.97061249,   0.0226596129
9100,    0.091000,   99.959391,   -0.892405,513266.47674430,   208.49361642,513474.97036072,   0.0229113864
9200,    0.092000,   99.958494,   -0.902212,513261.86903790,   213.10107105,513474.97010895,   0.0231631598
9300,    0.093000,   99.957587,   -0.912018,513257.21097680,   217.75888038,513474.96985717,   0.0234149333
9400,    0.094000,   99.956670,   -0.921825,513252.50256100,   222.46704440,513474.96960540,   0.0236667068
9500,    0.095000,   99.955743,   -0.931632,513247.74379051,   227.22556312,513474.96935363,   0.0239184804
9600,    0.096000,   99.954806,   -0.941438,513242.93466532,   232.03443653,513474.96910185,   0.0241702538
9700,    0.097000,   99.953860,   -0.951245,513238.07518544,   236.89366464,513474.96885008,   0.0244220272
9800,    0.098000,   99.952904,   -0.961052,513233.16535086,   241.80324744,513474.96859831,   0.0246738007
9900,    0.099000,   99.951938,   -0.970858,513228.20516159,   246.76318494,513474.96834653,   0.0249255743
10000,    0.100000,   99.950962,   -0.980665,513223.19461762,   251.77347714,513474.96809476,   0.0251773478
10100,    0.101000,   99.949976,   -0.990472,513218.13371896,   256.83412403,513474.96784298,   0.0254291212
10200,    0.102000,   99.948981,   -1.000278,513213.02246560,   261.94512561,513474.96759121,   0.0256808947
10300,    0.103000,   99.947976,   -1.010085,513207.86085754,   267.10648190,513474.96733944,   0.0259326681
10400,    0.104000,   99.946961,   -1.019892,513202.64889479,   272.31819287,513474.96708766,   0.0261844416
10500,    0.105000,   99.945936,   -1.029698,513197.38657735,   277.58025855,513474.96683589,   0.0264362151
10600,    0.106000,   99.944901,   -1.039505,513192.07390520,   282.89267891,513474.96658412,   0.0266879886
